0.063968,0.021037,0.28915,0.99886,-0.99999,0.98937,-1,-0.99992,-0.4939,-0.022941,0.56772,-0.46235,0.82991,0.84466,-0.8308,-0.38252,0.93426,0.12523,-0.73796,0.92311,-0.62012,0.2264,0.24719,-0.058422,0.95831,-0.10367,0.6963,-0.61973,0.93934,-0.53333,0.66608,-0.17418,-1,-0.48252,0.97306,-0.99711,0.57585,-1,1,0.97237,-0.33569,-0.14108,-0.96382,-0.12539,-1,-0.27919,1,-0.65249,1,0.60657,0.21312,0.56268,0.47555,0.19945,-0.9999,-1,-1,-1,0.084179,-0.79511,0.9996,-0.99998,-0.33055,1,-0.95187,0.62458,0.49432,0.45,0.97024,0.15258,-0.085414,-0.14712,0.55335,0.86832,-0.27137,0.83207,0.36015,0.91426,0.22981,0.39666
0.99989,0.65022,0.72501,-0.70205,-0.59914,0.99999,0.051621,0.99998,0.13805,0.73351,0.018686,-0.78468,-0.066368,0.97189,0.83191,-0.41634,0.86402,0.94691,-0.50555,0.7969,-0.068579,-0.73793,0.90537,-0.11304,-0.1808,-0.46298,-1,-0.016373,0.33963,-0.12233,0.64544,0.81236,1,-0.74174,-0.68867,1,1,0.91414,-0.063843,0.77335,1,-1,-0.99999,-0.88829,0.99133,-0.97632,0.87145,0.13454,1,-0.82306,-0.99995,1,0.42292,-1,-0.65068,1,1,1,-1,-1,-0.67146,-0.26105,-0.016612,-0.46431,-0.29428,-0.35964,-0.22874,-0.2716,-0.94387,-0.98283,-0.1541,0.44587,-0.81445,0.66271,-0.41364,0.62839,0.90782,-0.35683,-0.073965,1
-0.99987,0.99997,0.46001,0.60003,1,1,1,0.99998,0.30345,0.66933,-0.58746,-0.4844,0.4817,-0.17152,0.91282,-0.32596,-0.21797,0.40379,0.94465,0.6266,-0.31959,-0.9502,-0.79708,-0.51675,-0.35468,0.091771,-0.23567,-0.48759,0.18629,-0.59203,-0.0072394,-0.59391,-0.55606,1,-0.98654,0.99993,-0.98991,-1,0.74182,1,-1,0.99964,-0.99995,-0.99557,0.78507,-0.83969,-0.95158,0.13217,-0.89393,-0.8912,-0.99994,0.4887,1,1,0.99982,-1,-0.52398,0.88419,-1,0.57369,-0.74956,1,-1,-0.24143,-0.22646,0.57075,0.90956,0.061567,-0.26708,0.43284,-0.18113,0.90446,0.15907,-0.71503,0.46807,0.8404,0.45755,0.99893,1,1
0.011602,-1,0.74685,-1,-0.24206,0.33855,0.99999,-1,-0.33167,-0.88183,-0.88972,-0.19951,0.59798,0.39414,0.48968,-0.606,0.76117,-0.41392,-0.44986,-0.13148,0.94845,0.11233,0.85045,-0.24128,-0.52489,0.70451,0.13406,0.38689,0.84778,-0.78118,0.70349,-0.21707,-0.82251,0.6005,-0.99998,-1,-0.79206,0.85354,-0.96494,0.33778,0.29326,1,-0.0018654,-0.98662,-0.98234,-1,1,-0.62975,-0.88696,0.99997,1,0.99977,-0.99981,1,-0.99991,-1,1,-1,-1,-0.75112,1,-0.67164,0.99993,-0.70351,0.50609,-0.588,0.1288,0.05752,-0.55846,-0.50611,-0.31219,0.73623,-0.089629,0.13352,0.25401,-0.24455,0.12481,0.09797,0.68428,1
-1,-0.42567,-1,-0.85748,-1,-0.38812,-1,0.99999,-0.58065,0.84538,0.68991,0.63016,-0.65585,-0.90322,0.58853,0.31954,0.060685,-0.69834,0.96142,-0.3215,-0.084007,0.61771,0.42488,-0.55091,0.64094,-0.5098,-0.18602,-0.77844,0.085813,-0.15555,0.24686,-0.16466,0.99153,0.59909,1,-0.99998,1,-0.86362,-0.68239,-1,-0.99836,-1,-0.99997,0.99999,-0.36875,-0.83507,-1,1,0.80902,0.99985,-1,0.89573,0.49609,1,0.36645,0.56539,-1,0.82081,-1,1,1,1,-0.39327,-1,0.4344,-0.31629,-0.35047,-0.19292,0.52757,0.48565,-0.89758,0.55748,-0.38838,-0.42221,0.56138,-0.94007,0.36661,0.14258,0.39842,0.96875
0.43772,-1,-0.91654,0.54394,0.92191,-0.33948,0.56079,0.3305,0.94146,-0.64413,0.35215,0.21577,-0.90919,0.63598,0.56379,-0.71263,-0.3044,-0.52389,0.83682,-0.099917,-0.54062,0.778,0.62351,0.60662,-0.8671,-0.16216,-0.15395,0.61475,-0.13924,0.6333,0.64078,-0.90846,0.88817,1,-0.86712,-0.17551,0.18754,-1,-1,1,1,0.15873,-1,-1,-0.21183,-0.51965,1,0.34067,-0.72426,-0.74546,0.96552,-0.65997,0.99506,0.99785,-0.99999,1,-0.049807,-1,1,-0.28402,-0.20328,-0.87027,0.99996,1,-0.4513,0.10307,-0.91256,0.32934,0.088869,0.44514,-0.58451,0.91234,-0.74998,-0.23569,0.38065,-0.50186,-0.81193,0.096161,-0.32314,-0.4538
-1,-0.60528,0.99937,0.55108,-1,0.99996,1,0.024611,-0.76276,-0.46412,0.43197,0.25282,0.47589,-0.52968,0.47622,-0.24424,0.96304,-0.3238,0.20477,-0.82614,0.96443,-0.75132,0.07589,0.13178,0.74502,1,-0.636,-0.0040825,0.99551,0.92438,-0.30427,-0.74702,-0.23895,0.50311,1,0.73922,-0.62778,1,0.99009,-0.3908,1,-0.73535,-0.14936,1,0.81105,-1,0.31918,0.87522,0.83581,-0.81011,-1,-0.85141,-1,1,1,1,1,0.32397,-1,-1,-1,0.19444,-0.99977,-0.99993,-0.37074,-0.38735,0.88662,0.11652,-0.29964,-0.77255,-0.82221,0.35844,0.12209,-0.58622,-0.023397,0.421,-0.077295,0.16733,-0.43172,0.73601
-0.99984,-1,-0.10158,1,0.99999,-0.48545,-0.99997,-0.99999,0.39852,0.3165,-0.24174,-0.63902,0.98873,0.72266,-0.35372,0.53101,0.37143,-0.14551,0.43136,0.54981,-0.4113,-0.18645,-0.22874,-0.90743,0.94594,-1,0.616,-0.40756,0.035907,0.11871,0.81619,0.37321,1,1,1,1,-0.55803,-0.58172,-0.59845,-0.047212,-1,-0.9995,0.36791,-1,-1,0.77423,1,1,-0.99742,-1,-0.77155,-1,0.38515,-0.97487,1,-1,-1,1,-1,0.77931,-0.56966,0.81208,-1,1,0.87842,0.26362,0.059426,-0.92606,-0.41548,0.2681,0.42126,-0.93313,0.55462,-0.018414,0.38084,0.39201,-1,-0.084122,-0.53276,-0.041747
0.99998,-0.57441,-1,-1,-0.738,-1,1,0.99999,-0.4823,-0.74088,0.94698,0.92934,-0.98647,-0.65229,-0.36861,0.11332,-0.44434,0.032912,-0.099191,0.46812,0.31683,0.61684,-0.4317,0.11726,-0.2547,0.29244,0.15975,0.42838,0.51243,-0.56292,0.92223,-0.66568,-0.78084,-1,-1,0.22825,-0.78087,-0.48935,-0.45419,-1,-1,1,0.22454,1,1,-0.25237,-0.94069,0.36358,-1,-0.97705,0.99997,1,-1,-1,0.86595,0.62445,-0.87552,-0.74177,-0.20741,1,-1,-1,1,-1,-0.50752,-0.3556,-0.21002,0.46764,0.44605,-0.36525,0.58313,0.41711,-0.9439,0.69679,-0.93671,0.27733,-0.26145,0.17918,0.39646,0.8884
0.14091,0.99864,-0.99895,-0.88146,1,-0.99999,-0.75496,0.99988,0.8709,0.66819,0.68294,0.1895,0.13375,-0.55088,-0.77726,-0.088052,0.34377,-0.42102,0.47291,0.36979,-0.2055,0.36491,-0.070536,0.45252,-0.87226,1,-0.30785,0.25727,-0.32656,0.013429,0.32878,-0.88469,-0.15653,-0.9955,-0.016758,-1,-1,0.24863,-0.046614,1,1,1,1,0.99923,0.12447,0.98185,-0.23644,-1,0.87978,1,0.79855,-0.99904,1,-0.18583,0.9998,0.80733,0.77319,1,1,1,0.29773,-0.99973,-1,-1,-0.41435,0.20824,-0.17419,0.42212,0.21239,-0.11994,0.93574,0.60985,0.82909,0.4289,-0.98098,0.088452,-0.53079,0.47466,-0.55103,1
