0.39171,1,-1,-1,-1,-0.99792,-0.99992,0.52553,0.55554,0.99999,-0.15964,-0.15903,-0.47482,-1,-0.19246,-0.005074,-0.1281,-1,-0.98625,-1,0.55529,-0.99999,1,1,1,1,1,1,-0.99998,1
0.99999,0.076421,-0.53041,1,-0.17957,-0.14909,1,0.25671,0.091744,0.17298,-0.99993,0.54156,-0.37506,0.99999,-0.99412,1,-1,-1,1,0.99996,1,1,0.99998,-1,1,-0.26156,-1,1,1,-0.26899
1,1,0.62064,0.999,0.54003,-0.99999,-0.99989,1,-1,-1,1,-1,-1,0.12547,1,1,0.063964,0.15646,-1,-0.57918,1,0.33242,-0.99821,0.99998,1,-1,1,-1,-0.96762,1
1,-1,0.99964,-1,-1,1,-0.14134,-0.15173,-1,1,1,1,0.14819,0.0064217,1,-1,-0.57109,0.99995,0.47979,1,-1,-0.99996,-0.9966,0.61749,-0.99998,1,-0.16959,0.011657,0.23823,-1
-0.99996,0.79562,0.20652,0.056983,-1,0.53041,1,-0.99636,0.99999,1,-0.99713,-1,0.99499,-0.68232,-0.99639,0.56086,-1,-0.37329,1,-0.13264,0.043795,-0.16627,-0.17766,0.10152,-0.99999,1,0.42297,-0.99999,-1,-0.51914
-0.17814,-0.15566,-1,-0.27962,1,-1,-0.99997,-1,-1,-0.47662,0.30791,1,-1,-1,0.505,-1,-1,0.98648,-0.99994,0.77118,1,-1,1,-0.17003,-1,-1,0.42452,1,-1,-1
-0.97789,-0.59568,1,0.99719,-0.62112,-0.99726,0.24364,1,-0.99993,0.99999,-1,-0.61218,-1,1,-1,-0.99833,1,-0.486,1,-1,-1,0.49137,-0.99999,-0.54613,-0.080629,0.16386,1,-0.0057729,-0.10549,0.14608
0.467,-1,-1,1,1,1,0.53494,-1,0.14641,-1,1,0.21955,0.99853,-0.99999,0.29404,1,1,-1,-0.99489,1,-0.6286,-0.93991,0.33855,-1,-1,-0.51865,-0.89128,0.64722,1,0.99997
-1,-1,1,-0.54338,0.2492,1,-1,-1,1,-0.35173,-1,1,1,1,1,0.2164,1,0.98479,0.36846,-0.99999,0.20247,1,-0.99984,-1,0.53525,1,-0.99868,-1,0.53116,1
-1,0.99995,-0.26562,-1,1,0.28771,1,1,1,-1,0.51886,-1,1,0.55162,-1,-1,0.63864,1,-0.21005,-0.0073335,-1,1,0.49599,1,0.2451,-1,-0.94143,-0.77952,1,-1
