-0.47033,-1,0.24541,-1,0.039047,0.064949,0.99998,0.97622,1,-0.99999,1,1,-0.18894,-0.26506,0.44689,0.58853,1,-0.99998,-1,0.74749,-0.32395,-0.22985,0.99999,0.19521,0.22562,0.90484,-0.16684,-1,1,-0.99999,-0.9804,0.063078,0.61128,-0.77199,-1,1,-1,0.99997,0.81863,0.87311,0.99377,0.99999,0.99999,0.97075,-1,-0.99998,0.99997,0.71318,-0.10397,-0.020369,1,0.99999,-0.0090735,0.12483,0.34857,0.4805,-1,0.98317,0.99999,-0.99999
0.99999,-0.99999,-0.22369,1,0.99997,1,1,-0.99994,-1,0.93627,0.99977,-1,-0.99999,0.16729,-0.99999,-0.25564,-0.29236,-0.98948,-0.99999,-0.34119,0.97247,1,-0.10139,1,0.6959,-1,-0.99999,1,0.58534,1,-0.26053,-1,-0.1311,0.35265,-1,-0.088953,0.086304,0.27281,-1,-0.2405,1,-0.99999,0.3607,-1,-0.99998,-1,-1,-0.99998,-0.98157,-1,-1,1,1,-0.99997,-0.76269,-0.25935,-0.99675,0.27757,0.96722,0.9999
0.99998,1,-1,-1,0.99997,0.99989,1,0.22906,-0.42068,-0.9927,0.4135,0.56954,0.99995,0.63172,0.44615,0.087618,-0.99998,0.20041,0.13668,-1,0.99993,0.99992,-1,0.92137,-1,-0.064404,-1,1,0.99999,-0.083649,-0.41014,0.13044,-0.99999,0.99998,0.0079441,0.66933,0.99998,0.89059,-1,-0.78409,0.99997,1,-1,0.94724,0.99989,-0.99832,-1,1,-0.3497,0.99993,0.22192,0.50645,-0.047597,-0.99999,0.85525,-1,-1,0.98132,0.23989,-0.16116
-0.13405,1,0.99412,1,-0.43254,0.99989,-1,-0.99994,-0.39484,-0.045798,-1,-0.99999,-1,0.93495,1,-1,0.15936,1,1,-0.51564,1,0.001364,-0.41793,0.99961,-1,-0.48608,0.52406,0.99973,-1,-1,-1,1,0.68551,0.99996,-0.99999,-1,0.43742,-0.44568,-0.17081,-1,0.99999,-0.38374,-0.99995,-1,1,-0.32085,-0.41408,-0.1041,1,-1,1,-1,0.73286,0.079266,-1,-0.99998,0.68359,0.098299,-0.15958,0.99999
0.85066,-1,-1,0.47185,-1,1,-1,1,-0.99691,0.13586,-0.27315,1,0.99998,0.99998,-0.99846,-1,1,-1,-1,-1,-1,1,-0.55782,-0.99999,-0.036351,0.0145,-0.98912,0.34852,0.99999,0.95374,-1,1,-1,1,1,-1,1,0.99999,0.0027422,-1,0.22395,-0.99999,0.99999,-0.4336,0.46907,-1,0.17587,0.76402,-1,-1,1,0.99997,0.99995,1,1,0.99999,0.99999,0.99669,-0.99986,-0.99999
-1,-1,-1,1,-1,0.051353,-0.27494,0.064586,1,-1,-0.6257,-0.99999,1,-0.98735,1,1,0.24592,-1,-1,-1,0.61549,0.99998,1,0.99999,-1,1,1,-0.98639,-0.99576,-1,1,-0.52578,-0.42204,-0.99999,0.89446,-1,-1,-1,-1,0.23391,-1,-0.42418,-0.023759,0.035875,1,1,0.99993,0.39789,-0.99999,1,0.99999,-0.99984,-0.024901,-0.99983,-1,1,-0.99982,-1,0.99997,-0.74502
-1,0.99975,-1,1,1,-0.85759,0.88855,-1,1,1,-1,-0.66981,0.9282,-0.99995,0.024155,1,-1,-0.99996,1,-0.97925,0.28576,-0.94469,1,-1,1,-0.31971,-0.99998,-0.13854,-1,0.97181,-0.99999,-0.99989,1,0.95645,-0.99999,1,0.13161,1,1,1,0.91581,0.029313,-1,0.99992,-0.10992,1,0.2027,1,-0.99999,1,-0.99999,0.99932,-1,-1,1,0.20233,0.13732,0.99852,-0.161,-0.056407
0.99973,0.30942,-0.35881,-1,1,-1,-1,-0.99989,1,-0.99998,-0.98224,-0.16058,-0.39571,0.99998,-0.99999,-1,-1,1,0.95269,0.99999,-0.99999,1,0.10398,-0.10248,-1,0.99998,-0.86573,-0.57618,0.86751,-0.07873,0.82352,-1,1,-1,-0.9999,-0.99998,-1,1,-1,0.334,0.02771,-0.036832,1,1,1,0.58788,-0.99998,0.14921,1,0.18079,0.10157,-0.99751,-1,-0.86314,-1,-1,-1,0.3564,0.99938,0.065815
1,0.99998,1,0.41949,0.42078,-1,0.22015,1,0.99997,0.99999,-1,1,-1,-1,-0.8651,-0.99999,0.5839,0.033701,0.99924,0.33279,-0.76591,-0.99998,-0.43549,-0.96719,0.94906,0.34094,0.7363,-0.99997,1,0.99988,-1,-1,-1,1,0.99994,0.57948,1,-0.99999,0.78947,-1,-0.024743,0.99436,-0.99999,-1,-0.99948,0.99999,-1,-1,0.75453,-0.71831,-1,0.016094,-0.99999,-0.20063,-0.32902,1,0.075878,-1,-0.98552,-0.99835
-0.11763,0.1124,-1,-0.17678,-1,-0.16573,-0.99999,1,0.99977,-1,1,-0.99999,0.79695,1,1,1,-1,1,-0.087579,-0.28126,-0.84514,-0.99998,-0.99414,-0.3004,-0.73952,-0.99999,0.99997,-0.99998,-0.35761,0.99999,0.99952,-0.99997,-1,-1,0.99976,0.99998,-1,-0.43855,0.99999,-0.99999,-1,0.9432,-0.74438,1,-1,0.29744,0.35953,-1,-0.026045,0.98957,-1,-0.99997,0.91263,0.99999,1,1,-1,-0.17605,-1,0.098665
0.64649,-0.99992,0.99995,-0.99991,-1,-1,0.99999,-0.99066,0.10505,1,0.6718,0.32013,-0.97389,-1,1,-1,-1,-1,0.051869,0.96381,0.21947,-1,1,1,-0.99999,-1,-0.87473,0.99973,-0.31536,-0.10329,1,1,1,-0.99998,-0.99995,0.090099,1,0.98709,1,0.47858,-0.45679,0.99997,-0.26964,-0.99989,0.10773,1,0.99996,-0.99999,1,1,1,0.15497,1,0.48944,-1,0.032276,0.99974,1,-1,1
-1,-0.85568,0.99982,-0.99998,-0.99999,0.99894,-0.15484,-0.99994,-1,1,1,1,1,-0.29208,-0.99999,0.32605,-0.032268,1,-0.95351,0.99996,0.99995,-0.099764,-0.99234,-0.99982,0.81641,1,1,-0.99771,-0.99973,0.33223,0.99995,1,-0.061955,-0.65205,0.99997,-0.21456,1,-1,-1,1,0.81248,-1,-1,-0.008696,-0.78941,-1,1,-1,0.99999,0.99559,-0.99998,0.99979,-1,1,1,-1,-0.1619,-0.99999,0.90474,0.9958
-0.69728,0.79379,-0.092404,-0.20177,0.06865,1,-1,-0.26048,-0.99999,-0.15194,0.96574,-0.17166,-0.99947,0.99997,-0.16517,1,0.73151,-0.20232,-0.97879,0.99995,-1,1,-0.99999,-0.882,1,1,-1,0.99999,-0.99999,0.8857,-0.21677,1,0.99638,-0.93519,0.03981,0.65905,1,0.034444,0.99999,-1,-1,-0.93771,0.31829,0.99531,-0.023585,0.13745,1,1,-0.19536,-0.99999,0.10087,-0.84675,0.99999,-0.99998,-0.83981,1,0.99999,0.99998,0.7674,1
-1,0.76814,1,-0.40896,1,-0.22404,0.97987,1,-1,1,-0.18014,-0.97421,0.12479,0.24328,-0.99997,0.94723,0.99999,1,0.99999,1,0.98355,0.97174,1,-1,0.99817,-1,-0.015791,-0.19918,-0.15267,-0.99995,0.99835,-0.16998,1,0.16208,0.34732,-1,-0.43813,-1,1,1,-1,0.99836,0.99999,-1,0.99999,0.86472,-0.99999,0.99996,0.99997,-0.99999,-0.59982,0.10663,-0.51147,0.99999,1,-0.97947,1,-0.99998,-0.93209,0.98251
1,-0.20592,0.99999,1,-0.99902,-1,-0.20855,0.99999,-0.1905,-0.99994,-0.99997,1,0.49293,-1,-1,-0.7602,1,1,0.94546,-0.99995,-1,-0.99999,-0.91519,1,0.84019,-0.98936,1,1,0.99981,-1,0.85876,0.99897,-1,0.33325,1,0.99997,-1,-0.79907,0.24754,1,-1,-1,1,-0.74184,-0.95438,0.21642,-1,-0.99966,-0.99999,0.0030899,-0.39198,-1,-1,0.99971,-0.010031,-0.92157,1,-0.53388,0.45922,-1
