-0.33542,-0.72428,-0.98807,-0.30814,0.14931,-1,0.99429,0.99997,-0.82496,1,0.99988,-0.014122,-1,-0.5875,1,1,-0.99248,0.99998,-1,0.78221,-1,-1,-0.044104,-0.0056177,-1,0.7905,1,0.66275,1,1,-1,-1,-0.27117,-0.81794,-0.99892,-0.99999,-0.94446,-1,0.93195,1,0.075882,1,0.25854,-0.99314,1
-1,0.13626,1,-1,-0.97274,-1,0.99998,-1,1,0.99999,-1,-0.97577,-0.99988,0.99809,0.7426,0.033515,-0.99994,-1,0.14458,-0.90386,-1,-1,1,0.86842,0.99996,-0.18483,0.99999,-0.023074,-0.99999,0.26965,0.044624,1,-0.76647,-1,0.052072,-0.61474,1,0.99958,-1,0.015891,0.45054,0.99999,-0.99988,1,-1
-1,1,0.3343,-0.042326,-0.99997,-0.23147,-0.94325,-0.99999,-0.90835,-0.99995,0.98226,0.95986,0.12845,0.97755,-0.99977,0.99998,0.99999,0.95913,0.88309,1,0.99992,-0.99804,-0.99999,0.99999,0.34492,-1,0.99999,-1,-1,-1,0.99999,-0.41348,-1,0.8928,0.22158,-0.12798,-1,1,0.9562,0.99999,1,0.65206,0.18005,-0.99996,-1
-0.99999,-0.99999,-0.54208,-1,-1,1,-0.9787,0.99953,0.87637,0.82348,0.90925,-1,-0.99047,-1,-0.94104,1,-0.55529,-1,0.99994,0.078197,0.12827,0.6492,-0.99999,-0.14352,-1,-0.90279,0.87768,-1,0.19296,0.25877,-1,-0.28645,-0.98885,0.85585,0.99913,-0.99916,0.99233,-0.13345,-1,-1,1,0.99993,0.89853,0.99987,0.86733
0.72383,1,-1,1,0.94239,0.9998,0.99997,0.11259,-0.32876,-0.99999,0.23188,0.33641,-0.99999,0.8874,-0.92592,-0.99345,0.99999,-0.99999,0.99998,-0.087635,-0.31958,0.99999,-0.71183,-1,0.99938,1,1,1,-1,-0.99996,1,0.99998,1,-0.015541,-0.99996,0.037981,0.99961,0.24454,0.087857,1,-0.64913,-1,-0.05135,0.37451,-0.30553
0.8385,-0.99998,1,-1,0.60327,0.99999,-0.30672,0.27041,0.99993,-1,-1,-1,0.58524,1,0.89212,0.94173,1,-0.93742,0.97019,-0.99999,0.97098,0.92605,0.99999,-0.94568,0.99797,0.072455,-0.056405,0.11315,0.26721,-0.99987,0.85103,-0.88569,1,1,-1,0.20233,-0.66087,-1,-1,-1,0.1036,-0.083832,-0.98368,0.9671,1
1,-1,-0.99471,0.99998,0.99997,-0.99897,-1,-1,0.99752,0.93385,-0.99999,0.94996,0.99596,-0.94497,-0.99998,0.30399,-0.20432,0.99997,-1,-0.9822,-0.94836,1,1,0.81457,-1,-1,-0.82689,0.83881,0.89062,-1,-1,-0.991,0.99996,0.99997,1,0.90858,-0.99999,0.83367,-0.99997,-0.99385,-1,0.9901,-0.96095,-0.48259,0.023911
1,1,0.99987,-0.014619,0.99972,0.99999,0.99891,-0.99208,-1,0.99997,0.53562,0.99999,-0.83221,-1,0.28158,-0.25641,1,-0.0022743,-1,-1,0.76126,1,-0.93242,1,-0.22505,-0.33506,-0.91344,1,1,-0.024955,0.016247,-1,-1,-0.99982,-0.99997,0.99923,1,-0.9999,0.99321,0.040209,-1,-0.4423,-0.99994,-0.98136,-0.99997
-0.99986,-1,0.86843,1,-1,-1,-0.076596,0.99996,-0.99999,-0.99998,0.98338,-0.99999,-0.097653,-0.14334,-0.59108,1,-1,-1.9353e-05,0.99977,-1,-0.66346,0.028107,-0.65567,0.20274,-0.99998,0.99998,-0.99996,-0.87576,0.99999,0.98117,1,1,-0.68788,0.98544,-0.73195,0.99911,-0.99999,-0.64159,-0.40979,0.81431,1,-0.99956,1,1,-0.83486
0.61231,-0.38294,0.28274,0.99997,0.16833,0.24123,1,0.95849,0.99997,0.33111,0.088321,-1,0.99995,-0.44619,0.084263,-0.9998,-0.98242,-0.91583,-0.27457,0.99999,-0.091017,-0.71471,1,-0.92159,0.99999,-0.99998,0.13322,0.93313,-0.99999,0.91655,-0.16005,0.08731,0.35473,-0.7732,0.99995,-1,0.86803,-1,-0.72972,1,-1,0.99996,0.99999,-0.30113,0.99999
1,0.29609,-0.58673,-0.99607,1,-0.99999,-0.0098291,-0.99999,-0.0033403,-0.9939,-1,1,0.76516,-1,1,-1,1,1,1,0.95742,-0.99999,-0.76002,-0.99999,-1,0.94911,0.99999,-0.99999,1,0.16932,1,-0.99998,0.98796,1,1,-0.86429,-1,0.004054,0.034523,1,-0.99876,-1,-1,-1,-1,1
-0.22706,1,0.76402,-1,1,-0.030612,-0.99985,0.37678,-1,-0.10153,-1,-0.14956,0.99999,1,-0.75074,-1,-0.99734,1,-0.24047,-0.11452,1,-1,-0.0084685,-1,0.94769,-1,-1,-1,0.99993,-1,0.99987,-1,-0.17567,-0.99999,1,0.82286,1,0.99991,0.99977,0.99992,-1,-0.082729,1,-1,-0.0054038
-1,0.7612,-1,0.95724,-1,1,-0.99994,0.99999,-0.39998,0.028716,0.99686,0.99999,1,0.24798,0.9992,-0.99991,-0.092793,-0.35673,-1,0.93815,0.9852,-0.046007,0.35676,1,-0.35443,1,0.37807,-1,-0.99998,0.99999,-1,1,-0.98222,-0.11277,0.37425,0.99998,-0.10339,0.99997,-0.35768,-0.83782,0.99541,-0.99986,1,-0.3897,-0.99999
