0.72502,-0.99998,1,1,-0.99603,-1,1,1,0.99886,0.030291,-1,0.67083,1,-0.57741,1,-0.99999,0.89949,-0.00028398,1,0.99996,-0.0047096,-0.11373,0.70352,1,1,1,1,0.30107,-0.45643,1,-0.081437,-0.046463,-0.85664,0.99983,-1,-1,-1,-0.99223,0.85983,-0.95681
-1,-0.3821,0.94825,0.99999,-1,0.2712,0.99999,-1,-0.015301,-0.98786,-1,-1,-0.91865,-0.0037485,-0.95586,-0.18959,1,1,0.61233,-1,1,-1,-1,1,0.20033,-0.89686,-0.67208,1,-0.94503,-0.80452,0.060371,-1,1,1,-1,1,1,-0.99999,1,0.03135
1,1,1,-0.064896,-0.010602,-0.11455,-0.76969,-0.99924,-0.97177,1,1,0.99981,0.34405,-1,0.96286,0.80583,1,0.99818,-0.99247,-0.15673,0.99996,0.23583,0.99997,-0.93539,1,-0.70675,1,-1,-1,0.47837,-0.83678,0.92374,-1,1,1,0.99999,-0.71822,1,1,0.99985
-0.5463,-1,-0.016777,0.88899,-1,-1,-1,1,1,1,-1,-0.60989,1,1,-0.99999,1,-1,-0.64393,-0.99999,-1,-0.99999,-1,1,1,0.12515,0.99999,-1,1,1,1,0.99953,-0.71273,-0.99457,-1,-1,-0.2673,-0.047473,-0.070843,0.067415,-0.010047
1,-0.99973,0.71351,-1,-1,1,-1,-1,-1,-0.63552,0.90628,-0.0033618,-0.98525,-1,-1,1,-0.23289,0.999,0.99981,-0.28495,0.63697,1,-0.0043898,-0.99999,-1,-0.99998,0.0058749,-0.099997,0.078934,-0.046507,0.42665,0.99999,-0.99983,0.032546,1,-0.18072,1,-1,-0.99834,-0.73594
-1,-1,-1,0.99999,0.0040928,-0.90652,1,0.23119,0.99998,-1,0.093399,-0.005443,1,0.6978,0.93615,-0.27519,1,-0.99858,-0.0011443,0.10155,-0.64618,1,-1,-1,1,-1,0.99998,-0.99999,0.99997,0.047817,1,0.99999,-1,-1,-0.00064072,0.90461,-0.91826,0.11321,-0.36668,1
0.98072,-0.046638,0.07672,0.080728,1,-1,-0.66938,1,-0.057762,-0.9932,-1,1,-0.088443,-0.0036742,-1,-1,-1,-1,-0.0079034,0.91743,-0.0067653,-0.90534,0.90502,0.16796,0.12471,-0.0086314,1,1,-1,1,-0.90324,0.012528,1,-1,0.99842,1,1,1,-0.99847,-1
-1,1,-1,-1,1,1,0.0041197,0.091253,-0.9536,0.80399,1,0.95943,-1,-1,0.0047632,0.99917,0.21303,7.0795e-05,-0.99731,1,1,1,-0.019643,-0.059021,-0.99972,-0.024475,0.61008,1,-0.023292,-0.90957,1,-1,-0.1296,-0.036497,-0.61742,-0.99997,0.59197,1,0.93121,0.99995
0.032582,0.073074,-1,-0.39378,0.99105,-1,-1,0.14214,-0.012078,0.072805,0.99972,-0.99999,0.073295,0.99408,-0.67547,-1,-1,0.63004,-0.67527,-1,-1,-1,1,-1,-0.70843,-1,-1,0.15261,1,-1,-1,1,0.14774,0.88212,-0.0056207,0.17055,0.020271,-1,-0.090122,-0.88319
-0.90115,0.85983,-0.9113,0.85139,1,0.22596,1,-1,-0.99998,-1,-0.30154,-0.99999,1,-1,0.63492,-1,-0.99999,1,0.9781,1,-1,1,-1,-1,1,0.67341,-0.95852,-0.99998,0.71763,1,-0.99941,-0.98357,1,-0.60277,-0.99995,1,-0.99999,-0.99866,-1,1
0.99879,1,1,-1,0.64149,1,0.65589,1,0.65705,1,-0.1614,0.99659,-1,1,-0.022816,0.1122,0.99999,-1,-0.99827,1,-1,0.22427,-1,0.28329,-1,1,-1,-1,0.98911,-1,-1,-1,0.30133,-0.99999,1,-1,-1,1,-1,0.56074
0.0075002,0.92572,-0.53884,-1,-0.62189,1,0.048477,-0.90524,0.99999,-1,0.99999,-0.99999,-1,0.97852,1,1,-0.2109,-0.99268,1,-1,0.96764,-1,-0.61158,1,-0.9495,0.77108,0.010075,-0.90323,-1,-1,1,0.50978,1,0.71099,0.65579,-1,1,0.30027,1,-1
