1,0.99999,-0.98505,0.70061,-0.99997,-0.99984,1,-0.72935,0.97791,-1,1,0.98236,-1,-0.64995,-0.99925,-0.069322,0.17861,-0.024052,-1,1,-1,1,0.98992,1,-1,-1,1,-0.45641,-0.15758,0.067957
0.99981,-1,-0.99976,1,1,-1,0.94759,-1,-1,-0.029493,0.24539,0.1849,-0.99555,-1,-1,-1,-1,-1,1,-1,1,1,-0.47616,-1,0.049293,0.048118,0.023014,0.049742,-1,-1
-0.5919,1,-0.99994,-0.63831,-1,0.31034,-1,-0.19569,-0.56561,1,1,-0.50521,1,1,-1,1,0.57994,-0.0056504,1,1,0.021113,0.92962,-1,-0.01981,0.35176,-0.99999,1,1,1,0.99999
-0.19562,0.17499,0.41846,1,-1,1,-0.99999,0.99988,0.13161,-0.15033,-0.65987,0.99998,0.40896,-1,-0.58675,-0.99771,-1,1,-1,-1,1,-0.99999,0.20829,0.20457,-0.62935,1,-0.96894,0.029972,-1,1
-1,-1,0.93873,0.44543,0.99998,-0.5979,-0.50061,-1,-1,1,0.65347,0.99988,1,-0.33868,0.34733,0.99996,1,-0.99999,0.99994,0.034161,0.40261,-1,1,-0.62517,0.68585,1,-0.62341,0.99991,-1,0.99988
-0.26581,-1,1,-0.99999,0.031469,-0.99779,-0.67583,0.93428,0.99999,1,-0.034996,-1,0.015104,0.058925,1,-0.99113,1,-1,-1,0.45943,-0.057479,-0.017678,-1,1,1,-0.44103,-1,1,1,-1
0.99997,-0.54426,1,-0.60995,-0.43749,1,-1,-1,0.0099474,0.98983,-0.12927,0.17956,1,-1,0.6544,-1,1,0.99997,-0.43694,0.91211,0.99741,0.65908,0.1824,-0.25089,-0.63666,-1,-1,-1,0.4477,1
-1,-0.31012,-0.064998,0.018031,0.016348,-0.0091492,0.076683,-0.043446,1,0.58329,-1,0.96759,-0.065464,1,-0.99811,0.99999,-0.35523,1,-0.75262,-0.92368,0.99997,-0.39796,0.99997,0.63642,-0.95903,0.005056,0.34313,-1,1,0.27051
0.074236,0.20591,0.056728,-0.98142,0.99998,0.6726,1,0.57233,1,-0.70319,-1,-1,1,0.99996,1,0.40878,0.99423,1,-0.0044926,-0.088966,-0.99449,-0.99998,-0.48455,1,-1,1,1,-0.99999,0.2499,-0.9942
1,0.65031,1,0.99999,0.98349,1,1,1,-1,-1,-1,-0.46375,-1,0.58829,1,1,-1,0.12716,0.63053,-1,-0.9995,-0.69438,-1,-1,1,0.99986,0.75048,0.91493,-0.96738,-0.64019
-0.99998,1,-1,-1,-1,-0.99586,0.096305,1,-0.55257,-1,1,-1,-1,1,-0.053783,0.0504,-0.47453,-1,0.60981,0.99999,-1,0.65872,0.99923,-1,1,-1,-0.64336,-0.99999,0.9645,-0.45396
