Var1,Var2,Var3
1,7.13251547340029,648
2,7.05224320124063,1594
3,7.58750397729222,1972
4,7.57094508684255,1855
5,7.87632781075477,1077
6,7.17359376138876,3014
7,7.01404821142194,1357
8,7.5977174369403,1297
9,8.51506885893025,693
10,7.79294599273806,1660
11,7.27151941447138,1705
12,7.61529816878416,1769
13,7.23879427320018,596
14,7.96251450819195,1605
15,7.5926584343941,2102
16,7.71029746265093,773
17,6.99686612669589,1411
18,7.42269902246688,2038
19,7.87549783098478,1242
20,7.21268189459029,1559
21,8.19791340720272,1202
22,7.7601073395905,1360
23,6.98038025204487,2029
24,7.84976550715791,1555
25,7.10057226600684,1469
26,7.60512044593402,1004
27,7.67517021370823,1813
28,8.31184757143772,718
29,7.1747094648044,2201
30,7.64164881789086,1174
31,7.20011827303825,2276
32,6.87776398970535,1907
33,6.99740123615245,1292
34,6.99491148857129,1615
35,7.57861534969488,2498
36,7.03851287741561,1710
37,8.66465524722474,1649
38,8.22362094285221,3001
39,7.094561427678,1001
40,7.00358846014171,674
41,7.16541114664313,2654
42,7.61478930900065,1021
43,7.62323865663265,1942
44,7.57423304588846,1125
45,7.82089079820944,1152
46,7.15046860472026,1279
47,7.59373146125705,1246
48,7.00913438926678,2402
49,7.04784384147001,1547
50,6.92944858699383,2464
51,7.70887198594892,1018
52,7.72891143061965,533
53,7.63648547134826,2544
54,7.47536428183856,2697
55,7.05934376805641,838
56,6.99942938667568,1501
57,7.93543930027353,1036
58,7.78881769478806,1389
59,7.36745660222339,3000
60,7.66702742014387,1430
61,7.18216712293687,1574
62,7.01098229392124,1832
63,7.64759405396452,1156
64,7.04723253106918,2440
65,7.73076058044865,3002
66,7.56806407066099,1187
67,7.58362702915213,1464
68,7.21150570185928,1109
69,7.63946055128691,1992
70,6.99639662735304,1952
71,7.35191900942429,1521
72,7.0070194170813,1951
73,7.58956400189278,2127
74,7.02943122742842,2045
75,7.61648612842166,1550
76,7.02557404298499,1639
77,7.1736426031931,1944
78,6.90259105112434,2069
79,7.40417591351752,512
80,7.65753299726658,2753
81,7.13572785024021,1674
82,8.51574241858916,1464
83,7.81430160612163,1775
84,7.6045781341411,1025
85,7.61663536781821,798
86,6.99699963930614,1257
87,7.02902415309418,2257
88,7.04242111301089,1590
89,7.10064707554024,3006
90,7.56848312398511,1298
91,7.37915782573856,1496
92,7.98230528408116,937
93,7.57743100137184,2059
94,7.52680028032224,1873
95,7.09014375353162,1548
96,8.13111698645798,956
97,7.45011640034558,2116
98,7.10847980802857,687
99,7.61275975507508,1390
100,7.64813099078264,780
101,7.07737154889071,2914
102,6.98637888952802,1515
103,7.58075637169697,1450
104,7.65113325425532,1590
105,7.62281541530697,1711
106,8.29232672664471,531
107,7.6218001817412,2569
108,7.01725886421276,951
109,7.47401264412714,2855
110,8.57426710246067,698
111,7.88268740372057,1122
112,7.98112869048016,2184
113,7.07244395183687,2186
114,8.96851304433841,1735
115,7.62955354198722,2482
116,7.72224250104334,1536
117,7.25124221766009,1413
118,7.66370195646238,2032
119,7.60984223026097,2619
120,7.62336702803006,1577
121,7.56893444553918,1517
122,7.5872456286674,2866
123,7.01716358518137,1621
124,7.6006506331714,1442
125,8.56452832123383,1155
126,7.68925065197115,822
127,7.01539593827856,972
128,7.61217021628087,1485
129,8.40560574611723,2016
130,7.07781374103793,1998
131,6.89534098621426,2725
132,7.25560817348463,1325
133,7.4744852866654,2750
134,7.46120140254366,2474
135,7.08298512124553,2933
136,7.56643456445653,2730
137,7.62884730179847,2962
138,7.01877858012396,1891
139,7.6877372447111,601
140,7.57649621827816,2302
141,7.04754198136085,1144
142,7.28309376253832,429
143,7.58239773556217,1111
144,7.21922298288359,589
145,7.02316882559219,1383
146,8.32458637507822,895
147,6.9658044066885,1228
148,7.07613142698672,728
149,7.10889626527723,2276
150,7.19012352552375,3005
151,7.06057199582977,1263
152,7.10156503361932,1885
153,8.63634412210654,979
154,7.08016345059162,1435
155,6.99993079014444,1662
156,8.53095735238079,1913
157,7.38937313108309,1167
158,7.08808442830355,2558
159,7.00548056058765,2062
160,7.69342919445599,1146
161,7.5880778580094,959
162,7.02521320889839,2533
163,6.89680207595628,1771
164,7.00865827655713,2227
165,7.47686614943826,2748
166,7.15895223185972,799
167,7.12169170762974,1995
168,7.84628017241047,1162
169,7.08164484955696,993
170,7.51115526703396,933
171,7.63803751702305,1364
172,8.92787228590218,626
173,6.99450329017198,3010
174,7.12385994241568,2715
175,7.64798437992754,688
176,7.58096420635552,1400
177,7.6284314361187,2229
178,7.67689144916886,642
179,7.06888496023228,2064
180,7.94245342410127,594
181,7.03401371271434,2231
182,7.58576819380481,1957
183,7.01191607913617,1798
184,7.7278202858876,1864
185,7.58599438050164,1209
186,8.51433512351543,2576
187,7.61756994449641,1749
188,7.85736412031169,1979
189,7.98919379763269,1872
190,7.87237780345046,2911
191,7.6415459199628,845
192,7.59209016348744,1577
193,8.62308305541367,2125
194,8.52772391807751,1286
195,7.56947261819962,1424
196,7.47089051861869,1314
197,7.79429388247327,1241
198,7.00051456005864,1604
199,8.4685699182001,2171
200,7.58161506165667,1040
201,7.01198779887807,976
202,7.12220694106159,800
203,8.87931050358865,557
204,8.52654391645473,3011
205,7.04925321762454,1519
206,7.81650679017823,3005
207,7.69660104858174,747
208,7.97253439162188,825
209,10.7801292560589,512
210,7.80754015136022,2321
211,8.72922101499399,1118
212,7.73192429562935,1576
213,7.58023970286132,1490
214,7.81703733769757,817
215,7.57273337417425,1041
216,7.81358051846444,757
217,7.14715798096006,877
218,8.04056180011734,1516
219,7.67787097552893,2649
220,7.16760942240098,2551
221,6.98958137529105,1783
222,8.18481326980545,1583
223,8.70097488522404,3004
224,7.13476965443807,1473
225,7.00846165404806,1627
226,7.62271633333278,1545
227,7.76900332016788,1012
228,7.69884574354168,1114
229,7.59042329953123,2549
230,7.01876409550287,1502
231,7.52148273803355,3013
232,7.59179259730057,2308
233,7.02265100454154,2581
234,7.01527995363718,3003
235,7.95906990514628,1402
236,7.67050819962351,975
237,8.4731851035446,1694
238,7.04992504347972,2967
239,7.07873504391476,1832
240,7.57581411140683,1232
241,7.14330341817898,640
242,7.11819370875824,2373
243,8.13529656411733,665
244,8.10066385641637,554
245,7.73707972621892,2270
246,7.71955715357732,635
247,8.70489077320343,1028
248,8.55659354568094,2944
249,7.03524013635763,1468
250,7.22125540808926,2772
251,7.02028255931638,1676
