Var1,Var2,Var3
116,15.4704219606916,3006
117,12.9730866637143,3029
118,17.1652636981529,3018
119,13.78178569986,3021
120,13.8469757894631,3027
121,15.2851812998201,3000
122,14.8693053034076,3016
123,14.3160546860791,3038
124,13.6342798293308,3041
125,14.5273798571365,2600
126,14.5717216623815,2751
127,16.5715200169381,2421
128,14.3415389410714,3006
129,14.8727443417535,3045
130,16.1848974647731,3040
131,16.4599674031215,3042
132,13.3189713356139,3036
133,13.6120010435578,3000
134,14.2177308826891,3000
135,15.129330643555,3012
136,14.067109967921,3029
137,15.057023644775,3043
138,13.9280175299056,3029
139,15.8107930457026,3046
140,14.481482703391,3009
141,17.3294852933676,3011
142,13.5943286121039,3029
143,14.7742069253009,3042
144,17.3685877442019,3024
145,18.172712252166,3025
146,14.5335580545789,2358
147,14.2532269617061,3035
148,13.9808550418717,3016
149,16.9314893145881,3009
150,14.3889090230516,3010
151,13.6997438819899,3015
152,15.9104430088297,2559
153,15.9022329547113,3040
154,13.5974150565492,3015
155,15.8185532133455,3005
156,14.8198552184278,3021
157,17.4935655722547,3027
158,13.4499064722287,3002
159,15.4166197859191,3001
160,14.9848333611823,3028
161,14.5267061096792,3046
162,14.5422063741516,3038
163,15.1060621847261,3025
164,15.3443282551496,3000
165,16.3686783401235,3037
166,16.0673084177193,3037
167,16.1684991214962,3035
168,13.4391104891657,3039
169,16.4102769839678,2386
170,15.5416342867038,3015
171,14.8529728673555,3017
172,14.2456729667448,3006
173,16.0568262287968,3046
174,13.815251945322,3037
175,15.5574489406458,3006
176,13.6084950480511,3028
177,13.9514290562717,3022
178,17.2214186487344,2341
179,15.7022935453014,3041
180,12.9382889190529,3015
181,14.1256212953976,3023
182,14.5403912853601,3024
183,14.2250601205714,3030
184,16.7294045902485,2045
185,14.2896626056231,3029
186,14.8574980085988,3045
187,13.6425480529345,3048
188,13.9132985063407,2965
189,14.8310582854801,3036
190,14.6619088687275,2880
191,14.6912805350351,3031
192,13.6436039901724,3005
193,13.5659620036983,3041
