Var1,Var2,Var3
1,3.00734924502403,427
2,3.01591202977635,390
3,3.0041168651755,484
4,3.02484780453622,642
5,3.01605870583871,1064
6,3.02151675686967,1119
7,3.01846420913989,815
8,3.33062416576023,213
9,3.07300159444689,206
10,3.0160561396986,520
11,3.07623388100957,377
12,3.0043940871275,308
13,3.01546706956187,990
14,3.07767504203316,628
15,3.00373873856837,412
16,3.0038645858043,790
17,3.01910134987144,277
18,3.00661396111408,735
19,3.34964726025482,261
20,3.01721942731353,454
21,3.00433457529517,1265
22,3.01597966324766,424
23,3.00302475557635,334
24,3.01365700427055,494
25,3.00812171776806,572
26,3.00560626286737,422
27,3.00395129736697,165
28,3.0056900936436,172
29,3.00448837899589,183
30,3.0371220885244,500
