Var1,Var2,Var3,Var4_1,Var4_2,Var4_3,Var4_4,Var4_5,Var4_6,Var4_7,Var4_8,Var4_9,Var4_10,Var4_11,Var4_12,Var4_13,Var4_14,Var4_15,Var4_16
1,8.7666110727713,1408,-0.479529329568648,-0.233704766719563,-0.998134840593225,0.280517412794054,0.918843172893739,0.990710966856606,-0.955111191247475,0.993463983847551,-0.297412529949174,-0.0799650061171109,0.922524444323608,0.995471214601657,-0.997206601152334,0.632253506604596,-0.987974774080277,0.442114837568625
2,7.58764924323586,1508,0.341728577251378,0.995521370481752,-0.987866847677241,-0.986248970256025,-0.0337573104856001,-0.982424461911232,0.610928037359111,0.996185466683846,0.985257138941549,-0.701644678630579,-0.996715599576284,0.991229584173319,0.0411411764479998,0.0379306103835159,-0.994132752021808,0.88928939946511
3,7.92898978377587,1563,-0.994741550415661,0.154824353739445,0.970712219863489,-0.549901585817059,-0.995011498679161,0.727067100932169,-0.455300627143284,0.998312238736503,0.688136053229712,-0.340406881380817,0.995841866377613,0.987956740410612,-0.795060838137948,0.0656290210162877,-0.979687095104506,-0.998491492576987
4,7.94836558455577,583,-0.912594499269692,-0.980055512883537,-0.184833624026458,0.979066329866863,0.269024042517315,-0.976504536804025,0.868400201593378,0.975430196110267,-0.0790736750845287,-0.99022157106912,0.718424802003318,0.492204971288943,-0.781543090493387,0.980942920556521,0.965132334118609,-0.941036854624299
5,7.13413902217226,1940,-0.980777169231423,0.965600122840527,0.127741339851571,0.992668714933551,-0.990369467450522,-0.143688247043071,0.995238176536181,-0.967964980502519,-0.987705725940344,0.0364168729628017,-0.754576492299835,0.99554876475448,0.990201846175907,0.886455185091775,-0.996797365479738,-0.352096179605087
6,8.49440421744935,1472,-0.963325610531048,0.959688544632601,-0.659382217778711,0.997202765326743,0.565138024399845,0.405980737007867,0.0293061620605357,-0.997215564024988,0.970166867218476,-0.987140488027922,-0.996700998274063,0.705977768073951,0.997737354626318,-0.107759751827175,-0.197008616273001,-0.599384969122591
7,7.74087247706828,2794,-0.38685486842079,0.958914595548817,-0.550376628044861,-0.998137455933861,0.920788870326853,0.217562510615983,-0.997518210930366,0.984711502060349,-0.0124611398595647,-0.991792809758148,-0.976683740757301,0.991915094650983,0.980959617731024,0.974491492149603,-0.826069980966555,0.0310001652581797
8,7.61679287774505,1018,0.677848724354917,-0.0548877841919407,-0.987284884864053,-0.943186182829705,-0.178475792767278,-0.987035418882024,0.99453666646925,0.995025779947209,-0.997033564628694,0.98741127760664,0.986466258714336,-0.996688801092881,-0.0194917320773095,-0.20065694263692,0.992906885458027,-0.625477885528238
9,7.007394561226,1798,0.0590038491521989,-0.992357467240846,-0.964306359540234,-0.993292998286859,0.994399111698365,-0.0391610480490499,0.99327209873514,0.972422549420617,-0.749996504861869,-0.994474390046667,-0.166867557275018,0.993165285868748,-0.996036938658596,0.922790509484203,0.993967852566539,-0.0857408878242906
10,7.1305362996598,1283,-0.987961250673684,0.881583907321427,0.311169766215992,-0.997310917044502,0.979945063789028,0.994184464018091,-0.18320054856936,-0.932527254283645,-0.987904607565361,-0.100760648429999,0.890617934839502,0.997550758166049,0.978163143328688,-0.996305468545367,-0.845119911132194,-0.00143085828763494
11,7.57939351216412,1555,0.632235029231159,-0.978910536929923,0.245608386026806,0.997372234520491,-0.984977193892639,0.995812242227957,0.0732138286790656,-0.935661381931451,-0.994494013195777,-0.159306811633615,0.0982786417537371,0.986550075716983,0.985136540515122,-0.69911465845968,0.981638253449788,-0.995596666892915
12,8.51182785057888,887,-0.616452878199881,-0.994995156089659,0.954520303664271,0.403646357849427,0.85868566565116,-0.416104563440075,0.967138040544863,-0.994116841518598,-0.995419575260193,0.812589387652943,0.632146330098933,0.036473488363386,0.946581215935296,0.928783572574788,-0.984768023982831,-0.654057078576812
13,7.1949758690434,1636,0.316327923203658,-0.99395171058687,0.969857583336419,0.793484235388768,0.996609729077744,-0.958208657186279,-0.994649248319644,0.174847762959313,-0.904202412488632,-0.996702933161547,-0.976588759540072,-0.123550252709702,0.992017927422745,0.0370213209774445,0.994399586153146,0.858268926900736
14,7.02554503719208,2212,-0.995252695741673,-0.896939934628864,0.212910957365061,-0.242847777657784,-0.990052573958111,0.993189182298467,0.99362011429964,0.840122232057405,0.995864088846711,0.0740833930337472,0.952522366635525,-0.857651543901226,-0.988726345012718,0.992347738627485,-0.99520172347997,-0.244885054200667
15,7.5877847425605,1879,0.0128249799405143,0.125272158037568,-0.99589050077095,0.971465637644303,0.974760035226486,-0.661556831008532,-0.995806468659867,0.981934276564383,-0.980227802027011,0.0205267194379427,-0.975305096647333,0.996584192293955,0.0748572615220634,0.995294795221432,0.64834573993448,-0.98661860987532
16,7.6855248035121,1034,0.996232534082321,0.996938011032422,0.422847616483912,-0.882159171116416,-0.989454372210523,-0.110320315772361,0.561504933083176,-0.995407564081818,0.826239743687421,-0.717809207466132,0.983805412057499,-0.0386658635273561,-0.993112660516686,0.0370524095174163,-0.990751269695256,0.997351616679156
17,7.61605188088188,1953,0.983052854714619,-0.995257304278154,-0.266467733814444,-0.657504459919707,-0.0131729072637327,0.993886119889013,-0.996175604847312,0.933526684585595,0.253978682969314,0.660596868593623,-0.983364060464736,0.994032224233975,0.054845053579476,-0.994572008439218,-0.921897602271781,0.995645643835504
18,8.55525250658139,1906,-0.988157447029821,-0.906952861127336,-0.987309003364957,0.501416082419245,0.935250486994958,0.997109705171489,-0.0713095654619197,-0.0651548825025511,0.131418201175212,-0.998034655349292,0.901316141794611,-0.157756875549199,-0.993155987428643,0.949911019544396,0.938494305270252,0.963054628708666
19,7.60114022561143,2068,0.993924631782832,0.995761668083858,-0.124235159600449,0.0829255114164927,-0.978013768973967,0.664314268054655,-0.990533250727435,-0.983039928258455,0.650066888784222,-0.957657673088551,0.0192827668680701,-0.972808873642637,-0.983350474035991,0.994929806532419,0.997286197700239,-0.0824165772048313
20,7.01830197841436,1506,-0.992753158179098,-0.993175761557218,0.996082619352321,0.993925107771121,0.932621643557041,-0.0522201628505989,-0.77627343310951,-0.243918430274282,-0.990748279833769,0.989801906786536,-0.996234088176333,0.996265480175061,0.117753012452534,-0.961366586347113,-0.177999860723412,0.914169106077922
21,8.76370201426427,3001,-0.340593951584092,0.988804228242249,-0.799777333374968,0.115664136885865,-0.988716667165546,0.0485244349784118,0.997806349040587,-0.927467526621899,0.986087038609232,-0.949340840428327,0.974826385125723,0.978077560780621,0.195190093810837,-0.289939560358324,0.86328308660775,-0.99759587493331
22,7.05742210748185,3001,0.857606131631801,0.173076601778995,-0.199597918666482,-0.995759652624481,0.996706345823336,0.98836789734918,-0.992315093022959,-0.826895141356279,-0.0599009269838641,0.924009239412838,-0.968078486138604,-0.980921011909867,-0.996879487928197,0.990499331904204,0.98790909699866,0.228708099418137
23,7.26165479910496,1243,-0.995287269275997,0.995037638141645,0.97940210036169,0.927915722549038,-0.99171653688705,0.0519944016150536,0.196706208610837,-0.926802871676449,0.997709300235448,0.992697088321805,-0.984803858795792,-0.405806233830472,-0.989681014907626,-0.931481934280775,0.751400313415846,0.208253234159538
24,9.41008923634979,770,-0.625100240288684,0.39035320288346,-0.0867777162575886,0.926050329447456,0.991372559033098,-0.904015874646225,0.15924814916863,-0.973364408044896,-0.0781960501433405,0.956415630970783,0.958858456525912,-0.960051074919495,0.738462217444887,-0.982458023150324,-0.127672916659334,0.862369225209809
25,7.63182527273162,2244,0.977545264038991,0.0350314176129362,-0.937337715864785,-0.991704712347682,0.984424628986801,-0.988328712255183,0.975879947692294,-0.463807983497017,0.95960758497666,-0.695685296339429,0.127094710122342,0.962478192847012,-0.995301519535507,-0.993957639170245,0.104114800852091,0.976246330661445
26,7.01310511008333,1543,0.993761818264323,0.110055984212047,-0.996694020929252,0.934562208768004,-0.114899495125243,-0.988450525435478,0.996306416874602,-0.913907291875267,-0.994661086356243,-0.83545227556944,0.994143151625706,0.0494324485569988,0.8971604566221,-0.98875419814372,0.995924972867034,-0.223190353646456
27,7.68144612102318,3013,0.995844017142413,0.986600776733831,-0.991256048851343,0.256369467667739,-0.994755123525266,0.96072665011138,-0.227487167338921,-0.831537998442816,0.997825680115817,-0.9827381102394,0.51019572419564,0.521849572543462,-0.902045011485605,-0.364945950108334,-0.969767510527185,0.995723715494203
28,7.71514176966107,1585,0.268406439300177,-0.712820928236101,-0.996570092560403,-0.994572130584415,0.988330231007765,0.983723857705053,0.892253051700898,0.12085271633526,-0.16559600060651,-0.997060737407663,0.973405518838613,-0.591429789833013,-0.376121744567004,0.986383066570713,-0.99751409612014,0.966194545859499
29,7.03826785604615,2421,0.194511266027816,0.993193968050246,-0.992322088650171,0.831845775185628,-0.125827946653931,-0.851178181548916,-0.996224952502236,0.993822866584422,0.872103174568362,0.992243290474224,0.993169274619096,-0.153372367880982,-0.907684569537155,0.207945182703344,-0.995211993619308,-0.994636786819974
30,7.51034051198384,1533,-0.806671538214573,0.954792625674547,-0.99634297136578,0.140862976134778,0.146993358820685,0.975312541262537,-0.987488678837612,0.978880946063987,-0.0703689026347823,0.966833946511511,0.995870921731288,-0.931278202280413,0.830241257654763,-0.964925817807481,-0.995347869898233,0.445847203243504
31,7.15653713154714,3000,-0.897261900053123,0.985205098305914,0.995940062595757,0.300911462925024,0.874378515279152,-0.997450585288847,-0.962983467177971,-0.138512925009151,0.32038255037765,0.979789765604436,-0.996552181311831,0.873489951819943,-0.125004918785297,-0.996269491190895,0.987602401894198,-0.87144031995955
32,7.1398384555642,3006,-0.997030972093698,-0.374153623791936,-0.768732355658021,0.986824926011029,0.996892996485838,0.91991592594695,-0.0487758282597395,-0.980598702523833,-0.99602251652611,0.94145933665977,-0.0609873827846993,0.996058349493802,-0.996181984192998,0.099597410904494,-0.926052211079428,0.979889822023252
33,8.55351776117026,1893,-0.994145933909195,0.881510502963699,0.986780419634789,0.610368136378996,-0.00406862848624853,-0.370948157840925,0.955581848978175,-0.998224719259624,-0.893145696123795,0.991300335600156,0.134161730903259,-0.0516821985164187,0.991824899228433,-0.653845394582258,-0.996106239600528,0.880299007277844
34,7.08840298343281,2760,0.168421299718796,0.9225750583742,-0.995157530164893,-0.995707732282467,-0.175515182868402,-0.908822457296046,0.98603263528685,0.995394225927576,0.927836374227845,-0.323516711268798,-0.995661949478981,0.99601468125482,-0.800555773525826,0.052683243778173,-0.990090576085694,0.981567819576229
35,7.72952254074011,1196,0.993813438125588,0.985623889967222,0.0650146424309026,-0.33301842027975,-0.995417627376891,0.807244535829191,-0.998195538024238,-0.735072407419206,-0.961556153822329,0.48136622864416,-0.964577483019959,0.0432986756269994,0.625350184512215,0.99154544947991,-0.995533189202216,0.992931555550353
36,7.01523590886039,3000,0.999388709406447,-0.996622747298461,-0.0227716226999078,0.968569288498289,-0.990683915180249,0.999458810082986,-0.106025619083032,-0.999909499307612,-0.999442117128396,0.988855871109571,0.844125898318499,-0.0960188408035427,0.250290436060658,0.997531490447999,-0.82258262501476,-0.994093528568476
37,8.58631212391772,1372,-0.440564970066127,-0.997598009322462,0.977377360361407,0.982039347141113,0.00163824581549584,-0.970234929410027,0.939182399169351,0.0668942242495068,-0.976100598245562,-0.773312173008813,-0.895490639635865,-0.0588885154289926,0.214037530495641,0.967726021608207,0.997018347789387,-0.980898826633774
38,8.01233161714245,3010,0.609785177452483,0.001970003166535,-0.962267490848044,0.990785642456804,0.997378668012558,-0.962238583506133,-0.782595762730827,0.1275604389367,-0.995899623128817,0.0950326437211765,-0.997792417584552,-0.643314675200669,0.915899741760165,0.99758905765704,0.144395235413559,0.902748028717172
39,7.63727684241042,1721,0.997656712115121,0.0457925957139031,-0.958063289498526,-0.982260801005189,-0.979488320848271,0.340036031086802,0.587631686066056,0.997190474737911,-0.979127638966659,-0.985481189629711,-0.0783946569880776,0.994824832761258,-0.967151653026059,-0.166602603397966,0.993695425894272,0.745388016833924
40,7.65327926083046,1226,0.634141399698592,0.997749134631643,-0.10793819925388,-0.964705990570339,-0.981517141958786,-0.956163825326571,0.133952205075756,0.995963109380162,0.992642479447732,-0.992207069765463,-0.97703298234153,0.994164715356631,-0.985674823359033,0.0292955581091944,-0.0474418799698338,0.686795061481865
41,7.7671321538992,1706,-0.982146496067882,-0.609329295517768,0.654921667175316,0.987321219862769,-0.143513505741966,-0.982495184931089,-0.971286539015993,0.997997199435376,0.986565342690295,0.99497609740612,0.0515285294298587,0.99399235137141,-0.941070781307688,-0.946062941947027,-0.153159510543264,-0.995921375527429
42,7.0403030668774,3008,0.992029341113374,-0.994029718309026,-0.992920677156302,-0.133860388864779,-0.800977230121658,-0.00752714253272663,0.992975300429286,0.89512037626126,-0.995070203002352,-0.992248870883356,0.993779560532343,-0.944653704446938,0.121710117176888,0.924491566970144,0.993592346955408,-0.0329074429961692
43,10.5746515277701,1605,0.989422776088853,0.130697639868465,-0.872482747025877,-0.428256284212883,-0.989714141117566,0.915667615377658,-0.0501187008577868,0.299462972234199,0.744818325537286,0.990953923957041,-0.950483710858233,0.244475551934419,0.8192726588565,-0.923114502465848,0.1072927785928,0.499736834416073
44,7.94949561669571,2994,-0.956758949131212,0.142996467906622,-0.991312503098444,0.976626107272477,0.098334953233612,-0.980345662735794,0.996402258752819,0.969845656256274,-0.842466332882846,-0.954252123417892,0.996369845273173,-0.919157516420567,0.501355254885427,-0.537838146040356,0.997182300394619,-0.43450278608764
45,7.01147803458468,1539,0.996445912807814,-0.179715220258796,-0.0790386040927425,-0.781526328054695,-0.992325536230214,-0.995659387950668,0.993321635891812,0.944035640571469,0.996648601113093,-0.951537742718956,0.927255873440076,0.175584524648691,0.992780009598037,-0.991736965777173,-0.992681469377769,-0.0615695083005203
46,7.9196071634054,1857,-0.990690649538905,0.992174701549646,-0.500547773541586,0.752817053349258,-0.729374484730897,0.998062794237531,-0.988106140181311,0.0980965939033155,0.753185426192791,0.987654182509809,0.991307352428171,0.000594636155897233,-0.975727179222951,-0.998389600194404,-0.621091104576169,-0.588075906552014
47,7.12632689094333,1664,0.0285408455651937,0.331707769078311,-0.994602423763098,-0.99544162024338,-0.972541504940994,0.991141560771427,0.795475325573081,0.989143449181097,-0.824501566118753,0.956394100195229,0.99682500676602,-0.996341594424212,-0.0353390941753488,-0.994884729306601,-0.234408829159942,0.956781513185653
48,8.30828758158528,717,-0.545053623161608,-0.979075288837452,-0.979063424180241,0.958360989322667,0.890034128312285,0.964512869481987,-0.530599477033024,0.066523501197656,0.981868797692289,0.7339341881307,-0.97535903134944,0.159884846059078,0.978278410180596,-0.982876696644364,-0.243912191244523,-0.686936255027149
49,8.67362344667307,1267,-0.977499632716477,0.682693791674617,0.985268232753737,-0.997659339433537,0.988491219116711,-0.186683822961766,-0.0883263991853035,0.867880623500444,0.962082081676666,-0.989244640731741,-0.55936743479719,-0.89437764878137,0.232503334898677,0.213005646573715,-0.987751912009891,0.998040999525381
50,9.91395995927181,582,0.696249320104516,0.122282091592099,-0.13608352765643,-0.988366543637963,0.985601683628538,-0.260860761343783,-0.978606504027305,0.834140740464821,0.402015907855967,-0.98776795608465,-0.183344326395093,-0.841645404896405,-0.8014699635081,0.735113329581239,0.84970110760827,0.970438964594721
