Var1,Var2,Var3
1,8.50532965805947,1256
2,8.4812048888525,3001
3,8.69287564609389,2319
4,7.17322870984481,2276
5,7.54600562829618,3014
6,7.77967651585905,3005
7,7.51245425770114,3023
8,7.10911432446397,2866
9,7.81142560218473,3017
10,8.11708823684972,1575
11,8.61050200769526,1811
12,8.10647666273098,3007
13,7.16559487840703,2981
14,7.69745506673574,2032
15,8.20689981009561,2328
16,7.29808959805106,2287
17,7.72445731801347,1027
18,7.38511680071602,3011
19,7.61702438548531,971
20,7.44496843824936,3020
21,7.51378329971119,3024
22,7.94610999352431,1980
23,8.35699526485869,3017
24,7.61992809335109,1831
25,7.66771540413637,3022
26,7.41952321524424,1447
27,7.77076924202034,1357
28,7.43559813204845,1796
29,8.22961836736248,2138
30,7.64878968433721,3024
31,8.08280755883353,1136
32,7.13789569850632,1691
33,8.10204082226366,759
34,7.09766031010565,2836
35,8.97740756182763,659
36,8.28157704328622,3014
37,8.03498456854057,2726
38,8.14513078331967,2734
39,8.00816130837762,3007
40,7.24535778102142,3014
41,7.37855906587843,2529
42,9.37730968977664,575
43,7.46957746771856,2420
44,8.46766201605936,1181
45,8.02847444416484,2036
46,7.13469242424519,1757
47,7.43071439466905,3020
48,8.19215718708805,1250
49,7.79626476727353,3007
50,7.15435934567029,2135
51,7.27786551100689,1870
52,7.34049268584738,2487
53,7.64736776424343,3013
54,7.46348878735787,2668
55,7.64540161738596,1068
56,7.10707598877723,2804
57,7.35305092153763,2188
58,7.54994685988979,3015
59,7.42088785460148,3016
60,7.11341062663123,2302
61,8.47737657827431,1558
62,8.56625110211713,1723
63,8.16768980358826,3019
64,8.36286750919063,2246
65,8.73329171098281,2176
66,7.45681707860189,3000
67,7.53642270492,3011
68,7.570813485778,2506
69,7.06769799719933,1876
70,7.12375672283305,3014
71,7.30344952281171,3006
72,7.33744788222431,2188
73,7.23383407396837,3009
74,8.08982464084857,1633
75,8.13316619832235,1752
76,7.53132644776584,3010
77,7.79290802294397,2026
78,7.45735106226631,2513
79,7.66439462437179,2163
80,7.26808458368784,2388
81,7.18925358898177,3008
82,8.35651308242431,1058
83,7.86093470999649,2658
84,8.61927151455973,824
85,7.11364762558677,2098
86,7.0773342242092,3021
87,7.42089999530572,2441
88,7.31864128614311,1308
89,7.10007058263377,3008
90,7.33153926435729,3005
91,7.54368620691891,3011
92,8.11413654068196,1435
93,7.40232088242995,3000
94,7.19148189528723,2054
95,8.85362499066308,599
96,7.15830994315856,2934
97,8.49122802206976,3012
98,7.97317865969555,2175
99,7.65561058243195,3021
100,7.5999407466086,2627
101,7.78141469053813,1425
102,7.805451104364,1811
103,8.3870790941567,1619
104,7.4165599768413,2838
105,7.2083024105868,3000
106,8.38531594751839,2456
107,8.60557828793712,1858
108,8.27792489291185,3016
109,7.61335315243413,1980
110,8.18797401009701,1875
111,7.33508856580083,2328
112,7.37452081615922,3006
113,8.30571403648482,1460
114,7.43170261954185,956
115,7.29766568821066,3000
116,8.36107079316628,1221
117,7.52302275147217,3012
118,8.50746221968497,1876
119,8.25719350161431,2557
120,8.0888470434648,2109
121,8.50002724190414,1163
122,8.16703251454833,1680
123,7.44717412713587,1288
124,8.48388558298365,1811
125,7.29404227723325,2136
126,7.43966848976907,1646
127,7.24081870376461,3019
128,7.78033623060584,3002
129,7.43142194078552,2716
130,8.56111521783359,1429
131,7.42942877876374,2920
132,7.61423231105673,1918
133,7.53195073818559,3002
134,8.31040556382587,3005
135,8.31007008457484,847
136,11.3550012673464,372
137,8.87378781208125,3005
138,7.43681939006806,3014
139,7.57095029887775,1899
140,7.12363485953739,1440
141,7.43453908586067,979
142,7.08572042481849,2066
143,7.29578728190471,2607
144,7.38560932469373,1633
145,7.35963155550212,2921
146,9.11871122102328,1522
147,8.19157288823438,3000
148,7.15794037336636,3012
149,7.3843485367717,2568
150,7.2877470961469,2654
151,7.85408153276679,2432
152,7.44126867827352,2243
153,7.15116562285789,2955
154,7.80713319625928,3001
155,7.27163652292772,2269
156,8.33143812716934,2682
157,7.1816781160472,1782
158,7.32433030917647,3005
159,8.26167919957676,2696
160,7.73636464970512,1655
161,9.12722906445869,802
162,7.19436623511526,3000
163,7.25287960662614,3001
164,8.33139948192013,1560
165,8.57618977360731,1871
166,11.2607629726605,582
167,7.32411043662695,2294
168,7.3889538702178,3000
169,7.81666624614324,1283
170,7.27960367335263,1136
171,8.31178731794194,3019
172,7.31649976144964,3021
173,7.41584661978987,3024
174,7.82450151036266,824
175,8.32734569508297,2696
176,7.22432057913963,2173
177,7.87556193959011,2131
178,8.12518657780363,3000
179,7.74370496043285,2817
180,8.08617010487028,3021
181,7.21090796820898,3014
182,8.19084408962978,1262
183,7.43145432065156,2651
184,8.32021061405518,1327
185,7.33953723846986,3006
186,11.7941515363497,408
187,7.50778184752198,3006
188,7.47959864064611,3008
189,8.33264368012119,2547
190,8.56557770868349,1656
191,7.46885155646458,1319
192,8.19656031696164,2172
193,7.61995396010252,2444
194,7.32837796542182,3018
195,8.36003766446359,476
196,7.25394314829611,2350
197,7.50013203091098,1734
198,7.42981063843624,2607
199,8.19237935630514,3000
200,7.37362378239729,2333
