Var1,Var2,Var3
95,8.04028478438437,2442
96,9.37259321389524,730
97,8.28655586799853,561
98,7.83964305502902,1360
99,7.68194618295144,1719
100,7.88231129431456,3001
101,7.91458716073112,913
102,7.70558686473052,1334
103,7.8811975132989,1748
104,7.84571233569246,2401
105,7.86753564271006,1871
106,9.12131681475501,1702
107,8.40408848044824,795
108,7.9071160228835,2700
109,7.59661536183053,1652
110,7.85746389516729,984
111,8.70709189353048,1367
112,7.8878675812913,1217
113,7.90569461999908,909
114,7.74927605432356,2345
115,7.87876417564477,2734
116,7.77374634953185,852
117,7.77767811216035,813
118,7.87638160070724,3002
119,8.01157526388198,1616
120,7.77769924490151,1813
121,7.91584123372625,1458
122,8.65029684687512,1300
123,8.83817681387233,1344
124,8.44075979225416,482
125,8.38858942036743,527
126,7.83461398914664,1282
127,7.88096984974507,992
128,7.92258777243844,1621
129,8.39070899794356,689
130,7.87805637522073,1094
131,8.2105028219861,973
132,9.08751077225522,1172
133,9.06786835311919,516
134,7.67541154406957,793
135,7.75116903717224,2202
136,7.83416962300767,1371
137,8.29593503743375,863
138,8.81570074325227,868
139,7.89254393243588,1205
140,8.90866169563851,1912
141,7.70795700680192,1580
142,7.89371747242312,1751
143,7.73439233723105,1766
144,7.91493108425025,1730
145,7.97024223645078,774
146,7.84704397815548,2100
147,7.77014198721807,1740
148,7.86548681430803,1060
149,7.72919029037604,842
150,8.81376435134307,674
151,7.83621645785257,1534
152,9.12683225631464,1388
153,7.89304438701137,1233
154,7.77650842698419,887
155,7.88200371581429,2247
156,8.15278373545116,2154
157,7.91289851765404,2411
158,8.04803460577387,2208
159,8.39976509717806,2469
160,8.75483822073789,1324
161,7.73518660777991,1284
162,7.97651163130829,570
163,7.80602109320119,1117
164,7.94811141480447,2075
165,7.94442999585729,1180
166,7.95457969150973,2266
167,7.73775176007408,1573
168,7.82858484535827,2232
169,8.08931661536958,1101
170,7.88904515400305,2251
171,8.02988766680561,1335
172,8.38308889473311,1411
173,7.91563504557278,1511
174,7.89137951053383,2184
175,7.91624225612267,957
176,7.70396230867952,1196
177,9.07950874329975,483
178,7.73861010148562,1145
179,7.75669225803742,2310
180,7.79644310925778,2824
181,8.71584570176331,1176
182,8.85867796834747,1109
183,7.97940105364024,1430
184,7.94786749978421,2546
185,7.67971184081179,927
186,9.09208629606607,1010
187,7.88451096608156,1684
188,7.70870337851486,954
189,9.15008542443043,1200
190,7.7662485320991,1628
191,7.88229946684091,2045
192,7.91196395643211,2145
193,8.29666079827236,1879
194,7.68339080631443,1405
195,7.89019409730281,1881
196,7.99917272488957,1795
197,7.68629661502827,2461
198,7.86289907281355,1651
199,7.81785810678393,1395
200,7.75771023642206,1726
201,7.96122057810209,3006
202,7.81612699172439,2261
203,7.87433686729783,948
204,7.89480769730752,2413
205,8.49102730570074,1067
206,7.72739300068844,1619
207,7.71038704289562,1032
208,9.11709224527446,636
209,7.87152078587578,1632
210,8.80704532824507,1886
211,7.71466881232722,2459
212,7.69174163840438,2131
213,7.87888666411296,1618
214,7.94278108048318,901
215,7.87757062787019,805
216,7.71642540348247,1676
217,7.87446522049248,1222
218,8.81125641293971,1515
219,7.94085291889557,1338
220,7.65837436743944,3010
221,7.87717095259593,1242
222,8.10713408416762,2134
223,7.69688724344875,1142
224,7.93691162512452,2160
225,8.61930143706317,1013
226,7.76340141169024,1494
227,7.85070532763688,1966
228,8.84958377471351,1289
229,7.86228721250963,1432
230,7.82762131585593,1256
231,7.63835871005108,1909
232,7.68595328989013,920
233,8.07448229751374,2086
234,7.68991830014221,1059
235,7.86744827269236,1109
236,7.87742580994833,1146
237,7.88739447878863,839
238,7.85200954388258,1988
239,8.87996548760135,1531
240,7.71371065897927,1585
241,8.0000448188077,2230
242,9.18926006894549,1261
243,7.85878148427942,905
244,7.90215402112809,1291
245,7.88610188382641,2367
246,8.84327052409559,1543
247,7.88717938864051,1326
248,7.91526380445756,1731
249,7.74354984434464,1863
250,7.70866123672099,2002
251,8.88555110384755,2379
252,9.03237080675477,636
253,7.85477621886231,1674
254,8.07048520376723,1504
255,7.68136190475778,694
256,7.86248046998035,1048
257,7.86578646900804,812
258,7.67470156476964,1879
259,7.87458827654274,1954
260,7.96107639213187,961
261,8.21834904846052,2660
262,7.92375551161357,2122
263,7.88604383951869,966
264,8.99587691791405,582
265,7.74851355922121,1065
266,8.0236290229102,2376
267,7.89294716791336,969
268,7.91887308232223,2979
269,8.36152578510674,1061
270,7.8854414632898,1046
271,7.89046861181988,2148
272,7.68858891461931,1330
273,7.94061308346718,862
274,7.87219169265107,983
275,8.25807203502171,2584
276,7.95667729068143,776
277,8.0199997528902,2474
278,7.94235873482706,2107
279,7.89735587922788,1290
280,8.92668135964774,1817
281,9.1189251104808,1003
282,7.7212926623622,1817
283,8.67278209369088,1528
284,7.87876153797346,1349
285,7.88261517400483,1171
286,7.87853340880667,2211
287,8.03108811215541,1341
288,7.74776577095835,1395
289,8.02970546514877,1171
290,7.7396901785823,1624
291,7.85547179665654,1179
292,7.86413762060457,1044
293,7.76380832298843,1254
294,8.04268376413359,2059
295,9.2234938216161,853
296,7.90267440660957,807
297,7.8941668701715,1328
298,7.85178493754925,1023
299,9.19437354371476,1031
300,7.8347415638906,1294
301,7.85578204745992,1190
302,7.87001682673005,799
303,7.9248005178427,1447
304,8.00890077472902,1771
305,7.92418194050459,449
306,8.05024025612428,1979
307,8.11673534791115,3004
308,9.10652922303929,906
309,7.89019820654233,858
310,7.84925525662479,1125
311,7.87954213324647,1678
312,7.70944682233779,3000
313,9.24782463907315,802
314,7.86865601879912,1215
315,7.88194235001125,1578
316,8.02836322910233,2409
317,7.98245737068239,2249
318,7.88565949048892,1114
319,8.84483160385112,782
320,7.86368742268648,1306
321,9.29268211558799,774
322,9.05864822345719,1177
323,8.02710369117294,1823
324,8.20818027718982,3002
325,7.74088959033054,2049
326,7.9284795656795,868
327,9.06849835238074,756
328,8.06626048195265,1260
329,7.99299851426884,1632
330,7.95289344756241,1144
331,8.05665437740023,998
332,8.06268069198488,2677
333,8.23709189262879,354
334,8.59603106594532,348
335,7.84778621060121,1567
336,8.41446598626417,2347
337,7.96121271637451,2975
338,8.10371125370504,1812
339,8.90446851918234,1357
340,9.02559247023879,1019
341,8.14964036933671,2037
342,7.8700575243862,1119
343,7.6363427423901,1344
344,9.05543883272779,668
345,9.49454177920903,810
346,8.02948359721105,1180
347,7.84000390651474,1473
348,7.93461347960163,2402
349,7.9603175048376,1050
350,7.89350773095603,1534
351,7.72182582350988,1347
352,8.88829389323933,1556
353,9.13614891159733,781
354,7.91786517481091,1516
355,7.74884169007163,1831
356,7.96938721676866,2444
357,7.90895501925083,721
358,7.87022409203043,2034
359,7.74860935174378,1280
360,7.69654048856596,2157
361,7.92261037187792,847
362,7.89378970508349,1124
363,7.97256158473467,1564
364,7.798786210832,2441
365,7.87801188542999,1615
366,8.23095857739984,2555
367,7.88253845281524,1781
368,7.97128622417488,1837
369,7.94456216809509,2070
370,7.90696133373781,1088
371,7.94465091105763,986
372,7.73422968963784,1072
373,7.71510582333005,863
374,7.87504269045704,1104
375,7.62710253303589,1786
376,8.20684556430515,1247
377,8.17476248212761,1354
378,7.99050423172745,3000
379,7.89668539084616,1188
380,8.33366926258354,3011
381,7.91592294855777,3010
382,8.01975159108091,1064
383,8.77259852798355,1402
384,7.81685663279088,889
385,7.75339934918314,1843
386,9.90983545852763,453
387,8.82813533661163,841
388,8.14084931551938,2060
389,7.89540576156324,2479
390,9.22041230334991,1067
391,7.77925323225915,1597
392,7.97578850874215,3004
393,7.8343953964526,2695
394,7.91147067057117,1598
395,7.71064571023765,932
396,7.86818722208377,1129
397,7.76212851988149,1464
398,7.69806659802674,2084
399,7.91911753207518,1469
400,7.78629599128935,3007
401,8.00629274892437,1002
402,8.01484866600153,1581
403,7.66918635910922,1218
404,7.76215542428518,789
405,8.03218480495138,866
406,7.88592045335779,1911
407,7.69764344583599,779
408,8.67622469896245,648
409,7.93916383487136,1000
410,7.87717640671712,1098
411,7.67935986723826,1772
412,7.75714092444055,1233
413,7.67033951381036,2578
414,8.86769336601624,1286
415,9.28840482657425,555
416,7.8434817839001,1251
417,7.89357260743189,1022
418,8.99867983385262,588
419,7.81372240374664,1549
420,7.87422615310353,878
421,7.87354841791386,1103
422,8.26198835647419,1055
423,8.15168442471626,722
424,7.88888674775292,1175
425,9.05782344045069,1110
426,9.33927297538731,676
427,7.9276191076093,2729
428,8.05617181595951,457
429,7.98869233990892,1540
430,7.68337418740678,2550
431,8.27063564811838,2708
432,8.81857238756621,730
433,7.84405598393567,1240
434,7.83375934341878,1614
435,7.84637477523338,1415
436,7.88929099620944,1419
437,7.74618950871636,1526
438,8.69542087386999,1602
439,7.90336447779265,3011
440,8.46577905545511,1770
441,7.65172434803794,3010
442,8.90694543213259,898
443,7.89828398944353,2094
444,7.89227952163683,1278
445,8.54810179049595,586
446,7.68301824524498,1269
447,8.04690044191847,1831
448,7.8651485011948,2169
449,7.89670219944081,1816
450,7.94392078414726,1557
451,7.91220670597965,1014
452,7.67499188902344,1983
453,7.6853554119781,1422
454,7.7865118163067,2124
455,7.71406531759178,1012
456,7.92497415377936,1678
457,7.69278540315953,897
458,8.61250173748603,497
459,7.71084788027556,1690
460,7.73924204765152,1623
461,8.77498062684743,935
462,8.27009973633279,627
463,7.92266785697813,1752
464,7.93970517891697,2243
465,8.85280804828935,2026
466,7.86587498377553,1623
467,7.95284617506051,1514
468,8.55353283367942,2410
469,8.85778839160909,982
470,7.593924594846,1784
471,7.87092028784215,1157
